,ID,context,answer,references
10,11,"and James in the development of psychology • Appreciate Freud’s influence on psychology • Understand the basic tenets of Gestalt psychology • Appreciate the important role that behaviorism played in psychology’s history • Understand basic tenets of humanism • Understand how the cognitive revolution shifted psychology’s focus back to the mind Psychology is a relatively young science with its experimental roots in the 19th century, compared, for example, to human physiology, which dates much earlier. As mentioned, anyone interested in exploring issues related to the mind generally did so in a philosophical context prior to the 19th century. Two 19th century scholars, Wilhelm Wundt and William James, are generally credited as being the founders of psychology as a science and academic","Psychology is a relatively young science with its experimental roots in the 19th century. Its history can be traced back to two 19th century scholars, Wilhelm Wundt and William James.","{'page': 2, 'sections': 'history of psychology'}"
11,12,"in a philosophical context prior to the 19th century. Two 19th century scholars, Wilhelm Wundt and William James, are generally credited as being the founders of psychology as a science and academic discipline that was distinct from philosophy. This section will provide an overview of the shifts in paradigms that have influenced psychology from Wundt and James through today. Wundt and Structuralism WilhelmWundt(1832–1920) was a German scientist who was the first person to be referred to as a psychologist. His famous book entitledPrinciples of Physiological Psychologywas published in 1873. Wundt viewed psychology as a scientific study of conscious experience, and he believed that the goal of psychology was to identify components of consciousness and how those components combined to result",Wilhelm Wundt was a German scientist who was the first person to be referred to as a psychologist. William James was an American philosopher and psychologist who was a contemporary of Wundt.,"{'page': 2, 'sections': 'history of psychology'}"
12,13,"functional psychology (Figure 1.3). They accepted Darwin’s theory of evolution by natural selection and viewed this theory as an explanation of an organism’s characteristics. Key to that theory is the idea that natural selection leads to organisms that are adapted to their environment, including their behavior. Adaptation means that a trait of an organism has a function for the survival and reproduction of the individual, because it has been naturally selected. As James saw it, psychology’s purpose was to study the function of behavior in the world, and as such, his perspective was known asfunctionalism. Functionalism focused on how mental activities helped an organism fit into its environment. Functionalism has a second, more subtle meaning in that functionalists were more interested in","Functionalism in psychology is the idea that the purpose of studying behavior is to understand its function in the world and how it helps an organism fit into its environment. It is based on the theory of evolution by natural selection, which views organisms as being adapted to their environment including their behavior.","{'page': 3, 'sections': 'history of psychology'}"
13,14,"or developed, such as the importance of childhood experiences in adult motivations, the role of unconscious versus conscious motivations in driving our behavior, the fact that motivations can cause conflicts that affect behavior, the effects of mental representations of ourselves and others in guiding our interactions, and the development of personality over time. Westen identifies subsequent research support for all of these ideas. More modern iterations of Freud’s clinical approach have been empirically demonstrated to be effective (Knekt et al., 2008; Shedler, 2010). Some current practices in psychotherapy involve examining unconscious aspects of the self and relationships, often through the relationship between the therapist and the client. Freud’s historical significance and","Sigmund Freud was a pioneering figure in the field of psychology and made significant contributions to our understanding of human behavior. He developed and popularized the theory of psychoanalysis, which has been influential in the field for over a century. Freud's work focused on the unconscious mind and the role that childhood experiences and unconscious motivations play in shaping our behavior. He also emphasized the importance of mental representations of ourselves and others in guiding our interactions. Freud's ideas have been supported by subsequent research and remain influential in the field of psychology today.","{'page': 5, 'sections': 'sensation and perception'}"
14,15,"particular perspective would have directly contradicted Wundt’s ideas of structuralism (Thorne & Henley, 2005). Unfortunately, in moving to the United States, these scientists were forced to abandon much of their work and were unable to continue to conduct research on a large scale. These factors along with the rise of behaviorism (described next) in the United States prevented principles of Gestalt psychology from being as influential in the United States as they had been in their native Germany (Thorne & Henley, 2005). Despite these issues, several Gestalt principles are still very influential today. Considering the human individual as a whole rather than as a sum of individually measured parts became an important foundation in humanistic theory late in the century. The ideas of Gestalt","Gestalt principles are certain foundational ideas in Gestalt psychology, an influential psychological movement that originated in Germany in the early 20th century. These principles include considering the human individual as a whole rather than as a sum of individually measured parts, which became an important foundation in humanistic theory. Additionally, Gestalt psychology emphasizes the importance of understanding the whole situation or context in which behavior occurs, rather than just focusing on individual parts or behaviors.","{'page': 5, 'sections': 'sensation and perception'}"
15,16,"188 6 • Learning General Processes in Classical Conditioning Now that you know how classical conditioning works and have seen several examples, let’s take a look at some of the general processes involved. In classical conditioning, the initial period of learning is known as acquisition, when an organism learns to connect a neutral stimulus and an unconditioned stimulus. During acquisition, the neutral stimulus begins to elicit the conditioned response, and eventually the neutral stimulus becomes a conditioned stimulus capable of eliciting the conditioned response by itself. Timing is important for conditioning to occur. Typically, there should only be a brief interval between presentation of the conditioned stimulus and the unconditioned stimulus. Depending on what is being conditioned,","Classical conditioning is a type of learning in which an organism learns to associate a neutral stimulus with an unconditioned stimulus, in a process known as acquisition. During acquisition, the neutral stimulus begins to elicit the conditioned response, and eventually the neutral stimulus becomes a conditioned stimulus capable of eliciting the conditioned response by itself. Timing is important for conditioning to occur.","{'page': 181, 'sections': 'learning'}"
16,17,"as the father of behaviorism within psychology. Behaviorism dominated experimental psychology for several decades, and its influence can still be felt today (Thorne & Henley, 2005). Behaviorism is largely responsible for establishing psychology as a scientific discipline through its objective methods and especially experimentation. In addition, it is used in behavioral and cognitive-behavioral therapy. Behavior modification is commonly used in classroom settings. Behaviorism has also led to research on environmental influences on human behavior. B. F.Skinner(1904–1990) was an American psychologist (Figure 1.6). Like Watson, Skinner was a behaviorist, and he concentrated on how behavior was affected by its consequences. Therefore, Skinner spoke of reinforcement and punishment as major","Skinner's contributions to behaviorism include his focus on how behavior is affected by its consequences, specifically through the concepts of reinforcement and punishment. He also established behaviorism as a scientific discipline through experimentation, and his work has influenced the development of behavioral and cognitive-behavioral therapy. Additionally, Skinner's research on environmental influences on human behavior has led to new areas of study within psychology.","{'page': 6, 'sections': 'history of psychology'}"
17,18,"need in the domain of interpersonal affection. Maslow’s Hierarchy of Needs While the theories of motivation described earlier relate to basic biological drives, individual characteristics, or social contexts, AbrahamMaslow(1943) proposed ahierarchy of needsthat spans the spectrum of motives ranging from the biological to the individual to the social. These needs are often depicted as a pyramid (Figure 10.8). Access for free at openstax.org","Maslow's hierarchy of needs refers to a model of human motivation that posits that individuals have a range of needs that are arranged in a hierarchy. The needs at the base of the hierarchy are basic biological and physiological needs, such as food, water, and sleep, while the needs at the top of the hierarchy are more advanced, such as self-actualization and social connection.","{'page': 319, 'sections': 'emotion and motivation'}"
18,19,"distress. Cognitive-behavioral therapy explores how our thoughts affect our behavior. Cognitive-behavioral therapy aims to change cognitive distortions and self- defeating behaviors. Humanistic therapy focuses on helping people achieve their potential. One form of humanistic therapy developed by Carl Rogers is known as client-centered or Rogerian therapy. Client-centered therapists use the techniques of active listening, unconditional positive regard, genuineness, and empathy to help clients become more accepting of themselves. Often in combination with psychotherapy, people can be prescribed biologically based treatments such as psychotropic medications and/or other medical procedures such as electro-convulsive therapy. 16.3Treatment Modalities There are several modalities of treatment:","Client-centered therapy, also known as Rogerian therapy, is a form of humanistic therapy that focuses on helping people achieve their potential. It is developed by Carl Rogers and uses the techniques of active listening, unconditional positive regard, genuineness, and empathy to help clients become more accepting of themselves.","{'page': 622, 'sections': 'classical conditioning'}"
19,20,"our previous experiences, and even our cultural backgrounds. Cognitive Psychology As mentioned in the previous section, the cognitive revolution created an impetus for psychologists to focus their attention on better understanding the mind and mental processes that underlie behavior. Thus,cognitive psychologyis the area of psychology that focuses on studying cognitions, or thoughts, and their relationship to our experiences and our actions. Like biological psychology, cognitive psychology is broad in its scope and often involves collaborations among people from a diverse range of disciplinary backgrounds. This has led some to coin the term cognitive science to describe the interdisciplinary nature of this area of research (Miller, 2003). Cognitive psychologists have research interests","Cognitive psychology is the area of psychology that focuses on studying cognitions, or thoughts, and their relationship to our experiences and our actions. It is broad in its scope and often involves collaborations among people from a diverse range of disciplinary backgrounds.","{'page': 14, 'sections': 'contemporary psychology'}"
20,21,"perception, thinking and intelligence, memory, lifespan development, social psychology, and therapy. Developmental Psychology Developmental psychologyis the scientific study of development across a lifespan. Developmental psychologists are interested in processes related to physical maturation. However, their focus is not limited to the physical changes associated with aging, as they also focus on changes in cognitive skills, moral reasoning, social behavior, and other psychological attributes. Early developmental psychologists focused primarily on changes that occurred through reaching adulthood, providing enormous insight into the differences in physical, cognitive, and social capacities that exist between very young children and adults. For instance, research by JeanPiaget(Figure 1.12)","Developmental psychology is the scientific study of development across a lifespan. Developmental psychologists are interested in processes related to physical maturation, cognitive skills, moral reasoning, social behavior, and other psychological attributes. They focus on changes that occur throughout life, not just the physical changes associated with aging. Early developmental psychologists focused primarily on changes that occurred through reaching adulthood, providing insight into the differences in physical, cognitive, and social capacities that exist between very young children and adults.","{'page': 14, 'sections': 'contemporary psychology'}"
21,22,"in which they are introduced throughout the remainder of this textbook. This is not meant to be an exhaustive listing, but it will provide insight into the major areas of research and practice of modern-day psychologists. LINK TO LEARNING Please visit thiswebsite about the divisions within the APA(http://openstax.org/l/biopsychology)to learn more. View thesestudent resources(http://openstax.org/l/studentresource)also provided by the APA. Biopsychology and Evolutionary Psychology As the name suggests,biopsychologyexplores how our biology influences our behavior. While biological psychology is a broad field, many biological psychologists want to understand how the structure and function of the nervous system is related to behavior (Figure 1.10). As such, they often combine the research",Biopsychology is a scientific field that explores how our biology influences our behavior. Biological psychologists want to understand how the structure and function of the nervous system is related to behavior.,"{'page': 12, 'sections': 'contemporary psychology'}"
22,23,"20 1 • Introduction to Psychology sensory and motor systems, sleep, drug use and abuse, ingestive behavior, reproductive behavior, neurodevelopment, plasticity of the nervous system, and biological correlates of psychological disorders. Given the broad areas of interest falling under the purview of biological psychology, it will probably come as no surprise that individuals from all sorts of backgrounds are involved in this research, including biologists, medical professionals, physiologists, and chemists. This interdisciplinary approach is often referred to as neuroscience, of which biological psychology is a component (Carlson, 2013). While biopsychology typically focuses on the immediate causes of behavior based in the physiology of a human or other animal, evolutionary psychology seeks","Evolutionary psychologists are interested in studying how behavior is influenced by evolutionary processes. This includes exploring how the brain and behavior have evolved over time, and how these processes have shaped the ways in which humans and other animals behave. Evolutionary psychologists often use a variety of different approaches to study these topics, including comparative anatomy and behavior, cognitive psychology, and developmental psychology. They may also look at how behavior is influenced by social and cultural factors, as well as by biological factors such as hormones and genetics. Overall, evolutionary psychologists are interested in understanding the underlying mechanisms that drive behavior, and how these mechanisms have evolved over time.","{'page': 13, 'sections': 'biopsychology'}"
23,24,"146 5 • Sensation and Perception 5.1Sensation versus Perception LEARNING OBJECTIVES By the end of this section, you will be able to: • Distinguish between sensation and perception • Describe the concepts of absolute threshold and difference threshold • Discuss the roles attention, motivation, and sensory adaptation play in perception Sensation What does it mean to sense something? Sensory receptors are specialized neurons that respond to specific types of stimuli. When sensory information is detected by a sensory receptor,sensationhas occurred. For example, light that enters the eye causes chemical changes in cells that line the back of the eye. These cells relay messages, in the form of action potentials (as you learned when studying biopsychology), to the central nervous system. The","Sensation is the process of detecting stimuli by sensory receptors, while perception is the process of interpreting and organizing sensory information.","{'page': 139, 'sections': 'biopsychology'}"
24,25,"146 5 • Sensation and Perception 5.1Sensation versus Perception LEARNING OBJECTIVES By the end of this section, you will be able to: • Distinguish between sensation and perception • Describe the concepts of absolute threshold and difference threshold • Discuss the roles attention, motivation, and sensory adaptation play in perception Sensation What does it mean to sense something? Sensory receptors are specialized neurons that respond to specific types of stimuli. When sensory information is detected by a sensory receptor,sensationhas occurred. For example, light that enters the eye causes chemical changes in cells that line the back of the eye. These cells relay messages, in the form of action potentials (as you learned when studying biopsychology), to the central nervous system. The","The answer is that sensation is the detection of a stimulus by a sensory receptor, while perception is the interpretation of sensory information in the brain.","{'page': 139, 'sections': 'biopsychology'}"
25,26,"9.2 • Lifespan Theories 287 Age Developmental Stage Description (years) Task Identity vs. 5 12–18 Experiment with and develop identity and roles confusion Intimacy vs. 6 19–29 Establish intimacy and relationships with others isolation Generativity vs. 7 30–64 Contribute to society and be part of a family stagnation 8 65– Integrity vs. despair Assess and make sense of life and meaning of contributions TABLE9.1 Cognitive Theory of Development JeanPiaget(1896–1980) is another stage theorist who studied childhood development (Figure 9.5). Instead of approaching development from a psychoanalytical or psychosocial perspective, Piaget focused on children’s cognitive growth. He believed that thinking is a central aspect of development and that children are naturally inquisitive. However, he said",Jean Piaget's theories of cognitive development focus on children's cognitive growth and believe that thinking is a central aspect of development. He said that children are naturally inquisitive.,"{'page': 280, 'sections': 'lifespan theories'}"
26,27,"providing enormous insight into the differences in physical, cognitive, and social capacities that exist between very young children and adults. For instance, research by JeanPiaget(Figure 1.12) demonstrated that very young children do not demonstrate object permanence. Object permanence refers to the understanding that physical things continue to exist, even if they are hidden from us. If you were to show an adult a toy, and then hide it behind a curtain, the adult knows that the toy still exists. However, very young infants act as if a hidden object no longer exists. The age at which object permanence is achieved is somewhat controversial (Munakata, McClelland, Johnson, and Siegler, 1997).","Object permanence refers to the understanding that physical things continue to exist, even if they are hidden from us. It is something that is typically achieved by very young children.","{'page': 14, 'sections': 'contemporary psychology'}"
27,28,"3.2 • Cells of the Nervous System 83 Neurotransmitters and Drugs There are several different types ofneurotransmittersreleased by different neurons, and we can speak in broad terms about the kinds of functions associated with different neurotransmitters (Table 3.1). Much of what psychologists know about the functions of neurotransmitters comes from research on the effects of drugs in psychological disorders. Psychologists who take abiological perspectiveand focus on the physiological causes of behavior assert that psychological disorders like depression and schizophrenia are associated with imbalances in one or more neurotransmitter systems. In this perspective, psychotropic medications can help improve the symptoms associated with these disorders.Psychotropic medicationsare drugs that","The role of neurotransmitters in psychology is that they are released by different neurons and are associated with different functions, much of what psychologists know about the functions of neurotransmitters comes from research on the effects of drugs in psychological disorders. Psychologists who take a biological perspective and focus on the physiological causes of behavior assert that psychological disorders like depression and schizophrenia are associated with imbalances in one or more neurotransmitter systems. In this perspective, psychotropic medications can help improve the symptoms associated with these disorders.","{'page': 76, 'sections': 'cells of the nervous system'}"
28,29,"and behavior, and many have proposed that five trait dimensions are sufficient to capture the variations in personality seen across individuals. These five dimensions are known as the “Big Five” or theFive Factor model, and include dimensions of conscientiousness, agreeableness, neuroticism, openness, and extraversion (Figure 1.13). Each of these traits has been demonstrated to be relatively stable over the lifespan (e.g., Rantanen, Metsäpelto, Feldt, Pulkinnen, and Kokko, 2007; Soldz & Vaillant, 1999; McCrae & Costa, 2008) and is influenced by genetics (e.g., Jang, Livesly, and Vernon, 1996). Access for free at openstax.org","The Big Five personality trait model is a theory that proposes that five trait dimensions are sufficient to capture the variations in personality seen across individuals. These five dimensions are known as the “Big Five” and include dimensions of conscientiousness, agreeableness, neuroticism, openness, and extraversion. Each of these traits has been demonstrated to be relatively stable over the lifespan and is influenced by genetics.","{'page': 15, 'sections': 'stages of development'}"
29,30,"538 15 • Psychological Disorders 15.1What Are Psychological Disorders? LEARNING OBJECTIVES By the end of this section, you will be able to: • Understand the problems inherent in defining the concept of psychological disorder • Describe what is meant by harmful dysfunction • Identify the formal criteria that thoughts, feelings, and behaviors must meet to be considered abnormal and, thus, symptomatic of a psychological disorder According to the American Psychiatric Association, apsychological disorder, or mental disorder, is “a syndrome characterized by clinically significant disturbance in an individual's cognition, emotion regulation, or behavior that reflects a dysfunction in the psychological, biological, or developmental processes underlying mental functioning. Mental disorders are","According to the American Psychiatric Association, a psychological disorder, or mental disorder, is “a syndrome characterized by clinically significant disturbance in an individual's cognition, emotion regulation, or behavior that reflects a dysfunction in the psychological, biological, or developmental processes underlying mental functioning. Mental disorders are generally considered to be harmful dysfunctions that impair an individual's ability to function effectively in everyday life.","{'page': 531, 'sections': 'learning'}"
30,31,"Disorders The diagnosis and classification of psychological disorders is essential in studying and treating psychopathology. The classification system used by most U.S. professionals is the DSM-5. The first edition of the DSM was published in 1952, and has undergone numerous revisions. The 5th and most recent edition, the DSM-5, was published in 2013. The diagnostic manual includes a total of 237 specific diagnosable disorders, each described in detail, including its symptoms, prevalence, risk factors, and comorbidity. Over time, the number of diagnosable conditions listed in the DSM has grown steadily, prompting criticism from some. Nevertheless, the diagnostic criteria in the DSM are more explicit than that of any other system, which makes the DSM system highly desirable for both","The DSM-5 is the fifth edition of the Diagnostic and Statistical Manual of Mental Disorders, which is used by most U.S. professionals to diagnose and classify psychological disorders. It was published in 2013 and includes a total of 237 specific diagnosable disorders.","{'page': 584, 'sections': 'vision'}"
31,32,"to determine if there are meaningful differences between the groups. Psychologists report their research findings in peer-reviewed journal articles. Research published in this format is checked by several other psychologists who serve as a filter separating ideas that are supported by evidence from ideas that are not. Replication has an important role in ensuring the legitimacy of published research. In the long run, only those findings that are capable of being replicated consistently will achieve consensus in the scientific community. 2.4Ethics Ethics in research is an evolving field, and some practices that were accepted or tolerated in the past would be considered unethical today. Researchers are expected to adhere to basic ethical guidelines when conducting experiments that involve","Ethics is an important aspect of psychological research as it ensures that the research conducted is done in a responsible and ethical manner. Researchers are expected to adhere to basic ethical guidelines when conducting experiments that involve human subjects. This includes obtaining informed consent from participants, ensuring their privacy and confidentiality, and minimizing any potential harm or discomfort. Ethics also plays a role in determining the validity and reliability of research findings, as unethical practices can lead to biased or inaccurate results. Ultimately, ethical considerations are crucial in maintaining the integrity and credibility of the scientific community.","{'page': 58, 'sections': 'analyzing findings'}"
32,33,"16 1 • Introduction to Psychology LINK TO LEARNING View a briefvideo of Carl Rogers describing his therapeutic approach(http://openstax.org/l/crogers1)to learn more. The Cognitive Revolution Behaviorism’s emphasis on objectivity and focus on external behavior had pulled psychologists’ attention away from the mind for a prolonged period of time. The early work of the humanistic psychologists redirected attention to the individual human as a whole, and as a conscious and self-aware being. By the 1950s, new disciplinary perspectives in linguistics, neuroscience, and computer science were emerging, and these areas revived interest in the mind as a focus of scientific inquiry. This particular perspective has come to be known as the cognitive revolution (Miller, 2003). By 1967, Ulric Neisser","The cognitive revolution in psychology refers to a shift in focus from behavior and the environment to the mental processes and internal experiences of individuals. It emerged in the 1950s and was influenced by new disciplinary perspectives in linguistics, neuroscience, and computer science, which revived interest in the mind as a focus of scientific inquiry. This perspective emphasized the importance of understanding how individuals process and interpret information, how they make decisions, and how they solve problems. The cognitive revolution led to new approaches in psychology, such as cognitive psychology and cognitive-behavioral therapy.","{'page': 9, 'sections': 'history of psychology'}"
33,34,"formed the foundation for the subsequent development of a feminist psychology that attempted to be free of the influence of male cultural biases on our knowledge of the psychology of women. Crawford & Marecek (1989) identify several feminist approaches to psychology that can be described as feminist psychology. These include re-evaluating and discovering the contributions of women to the history of psychology, studying psychological gender differences, and questioning the male bias present across the practice of the scientific approach to knowledge. Multicultural And Cross-Cultural Psychology Culture impacts individuals, groups, and society. An ongoing issue researchers are trying to correct is that certain populations have been over-studied and the results of these studies have been","Feminist psychology is a branch of psychology that attempts to be free of the influence of male cultural biases on our knowledge of the psychology of women. It includes re-evaluating and discovering the contributions of women to the history of psychology, studying psychological gender differences, and questioning the male bias present across the practice of the scientific approach to knowledge.","{'page': 10, 'sections': 'history of psychology'}"
34,35,"References 731 dependence: A meta-analysis of randomized controlled trials.Alcohol and Alcoholism, 36(6), 544–552. Sue, D. W. (2001). Multidimensional facets of cultural competence.Counseling Psychologist, 29(6), 790–821. Sue, D. W. (2004). Multicultural counseling and therapy (MCT). In J. A. Banks and C. Banks (Eds.),Handbook of research on multicultural education(2nd ed., pp. 813–827). Jossey-Bass. Sue, D. W., & Sue, D. (2007).Counseling the culturally different: Theory and practice(5th ed.). Wiley. Sussman, L. K., Robins, L. N., & Earls, F. (1987). Treatment–seeking for depression by Black and White Americans.Social Science & Medicine, 24, 187–196. Szasz, T. S. (1960). The Myth of Mental Illness.American Psychologist, 15, 113–118. Thomas, K. C., & Snowden, L. R. (2002). Minority","Multicultural psychology is a field of study within psychology that examines the impact of culture on psychological development and well-being. It seeks to understand how cultural factors influence psychological processes and how individuals from diverse cultural backgrounds can be effectively counseled and treated. Multicultural psychology is concerned with the intersections of culture and psychology, and with the unique challenges and opportunities that arise when working with clients from diverse backgrounds. It draws on a range of theoretical and research perspectives, including cognitive psychology, social psychology, sociology, anthropology, and critical race theory.","{'page': 724, 'sections': 'vision'}"
